diskdir | PackageMissing | source=Ghisler Plugins | authority=OfficialTotalCommander | reported=1.3 | source statuses=ghisler-plugins:Success,totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=diskdir=unavailable (TaskCanceledException)
diskdircrc | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=http://totalcmd.net/plugring/tc_java_64bits.html=unavailable (TaskCanceledException);https://www.oracle.com/es/java/technologies/javase/javase8-archive-downloads.html=unavailable (InvalidDataException)
diskdirw | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.2.4 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=diskdirw=unavailable (TaskCanceledException)
dxfwlx | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.5.0.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=dxfwlx=unavailable (IOException)
ebookinfowlx | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=2.4.1.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
edge-viewer | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
eml-viewer | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
eml_new | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.3.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
envvars2 | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=2.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
ergfsa | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
everysearch | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
exif | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—,—/2.3 | packages=
exiftoolview | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
fb2-viewer | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
filediz | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
fileinfo | PackageMissing | source=Ghisler Plugins | authority=OfficialTotalCommander | reported=2.23 | source statuses=ghisler-plugins:Success,totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=2, 2, 3, 0,2, 2, 3, 0/2.23 | packages=
filex | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
findzerofiles | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.2.3 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
flashview | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
font | SourceLagging | source=totalcmd.net index | authority=CommunityCatalog | reported=0.08 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=0.09/0.09 | packages=
gemini | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.0.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
geophotolister | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.3.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=GeoPhotoLister=unavailable (TaskCanceledException)
gislister | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.4 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=GisLister=unavailable (TaskCanceledException)
gitview | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
glimpse-wcx | NeedsOfficialSource | source=GitHub Releases | authority=CommunityCatalog | reported=1.1.5.4 | source statuses=github:Success | package=Verified | verified aliases=Glimpse.wcx | raw/local=—/ | packages=https://github.com/pozitronik/glimpse/releases/download/1.1.5.4/glimpse_master_1.1.5.4_wcx.zip=Glimpse.wcx
glimpse-wlx | NeedsOfficialSource | source=GitHub Releases | authority=CommunityCatalog | reported=1.1.5.4 | source statuses=github:Success | package=Verified | verified aliases=Glimpse.wlx | raw/local=—/ | packages=https://github.com/pozitronik/glimpse/releases/download/1.1.5.4/glimpse_master_1.1.5.4_wlx.zip=Glimpse.wlx
hlp | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.2.0 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=1.0.2.0,1.0.2.0/1.0.2.0 | packages=
htmlview | SourceLagging | source=totalcmd.net index | authority=CommunityCatalog | reported=1.1 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=1.2.6,1.2.6/1.2.6 | packages=
http-browser | PackageMissing | source=totalcmd.net | authority=CommunityCatalog | reported=1.3.1.1 | source statuses=totalcmd.net:Success | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
http2 | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.3.1.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
https-browser | PackageMissing | source=totalcmd.net | authority=CommunityCatalog | reported=1.1 | source statuses=totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=https_browser=unavailable (TaskCanceledException)
hugginface-vfs | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.5.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
iclread | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.5.4.4 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=1.5.4.4,1.5.4.4/1.5.4.4 | packages=
iclview | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=25.3.2023 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
ieview | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=1, 94, 1, 0/1, 94, 1, 0 | packages=
ifcwlx | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.3.0.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
imagine | VersionDisagreement | source=Ghisler Plugins | authority=OfficialTotalCommander | reported=2.3.0 | source statuses=generic-html:Unavailable,ghisler-plugins:Success,totalcmd.net:Success | package=MetadataOnly | verified aliases= | raw/local=2.5.7,2.5.7/2.5.7 | packages=
img | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.9 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=V2.03/ | packages=
inieditor | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
inscl | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
instexpl | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=0.9.2 | source statuses=totalcmd.net-index:Success | package=MetadataOnly | verified aliases= | raw/local=0, 9, 1, 0/0, 9, 1, 0 | packages=
intrd | PackageMissing | source=totalcmd.net | authority=CommunityCatalog | reported=6.54 | source statuses=totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=intrd=unavailable (TaskCanceledException)
iqviewer | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.5 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=iqviewer=unavailable (TaskCanceledException)
iso | VersionDisagreement | source=Ghisler Plugins | authority=OfficialTotalCommander | reported=1.7.9 | source statuses=ghisler-plugins:Success,totalcmd.net-index:Success,totalcmd.net:Success | package=MetadataOnly | verified aliases= | raw/local=1.7.9.0,1.7.9.0/1.7.9.0 | packages=
isolister | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
jadinfo | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
jamd | PackageIdentityMismatch | source=totalcmd.net index | authority=CommunityCatalog | reported=1.3 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Ambiguous | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=JAMD=identity mismatch
java_decompiler | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
jpegquality | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.2.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
jsonviewer | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.3.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
linkinfo | PackageMissing | source=totalcmd.net | authority=CommunityCatalog | reported=1.52 | source statuses=totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=linkinfo=unavailable (TaskCanceledException)
m3u | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.0 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=M3U=unavailable (TaskCanceledException)
markdownviewer | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=2.5 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
markdown_viewer_net | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=1.0.1 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
mdview_lister_extension | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=3.8.2 | source statuses=totalcmd.net-index:Success,totalcmd.net:Success | package=Unavailable | verified aliases= | raw/local=—/ | packages=https://totalcmd.net/download.php?id=mdview_lister_extension=unavailable (TaskCanceledException)
mediainfo-wdx | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
mhtunpack | PackageMissing | source=totalcmd.net index | authority=CommunityCatalog | reported=2.4 | source statuses=totalcmd.net-index:Success,totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=2.4.0.0,2.4.0.0/2.4.0.0 | packages=
mmedia | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=2, 6, 2, 0,2, 6, 2, 0/2, 6, 2, 0 | packages=
mobile-devices | SourceUnavailable | source=— | authority=— | reported=— | source statuses=totalcmd.net:Unavailable | package=MetadataOnly | verified aliases= | raw/local=—/ | packages=
